Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['SP, SP, *']	2021-01-22	332	46289333	42996014	3293319	274842	2917634	100843
['SP, SP, *']	2021-01-23	333	46289333	42974661	3314672	279961	2933429	101282
['SP, SP, *']	2021-01-24	334	46289333	42953493	3335840	290638	2943475	101727
['SP, SP, *']	2021-01-25	335	46289333	42932344	3356989	297436	2957378	102175
['SP, SP, *']	2021-01-26	336	46289333	42912050	3377283	293616	2981058	102609
['SP, SP, *']	2021-01-27	337	46289333	42891291	3398042	287761	3007238	103043
['SP, SP, *']	2021-01-28	338	46289333	42869772	3419561	281819	3034258	103484
['SP, SP, *']	2021-01-29	339	46289333	42846858	3442475	280787	3057767	103921
['SP, SP, *']	2021-01-30	340	46289333	42824381	3464952	284250	3076344	104358
['SP, SP, *']	2021-01-31	341	46289333	42802112	3487221	294923	3087502	104796
['SP, SP, *']	2021-02-01	342	46289333	42779990	3509343	300373	3103736	105234
['SP, SP, *']	2021-02-02	343	46289333	42757485	3531848	296058	3130094	105696
['SP, SP, *']	2021-02-03	344	46289333	42735852	3553481	291630	3155717	106134
['SP, SP, *']	2021-02-04	345	46289333	42714460	3574873	290035	3178271	106567
['SP, SP, *']	2021-02-05	346	46289333	42693544	3595789	288915	3199849	107025
